der_type,der_model_name,definition_type,definition_name,power_per_unit_minimum,power_per_unit_maximum,power_factor_minimum,power_factor_maximum,energy_storage_capacity_per_unit,charging_efficiency,self_discharge_rate,marginal_cost,thermal_efficiency,electric_efficiency
fixed_load,singapore_base_load,schedule_per_unit,singapore_base_load,,,,,,,,,,
fixed_load,mixed_commercial_residential,schedule_per_unit,mixed_commercial_residential,,,,,,,,,,
fixed_load,residential_landed,schedule_per_unit,residential_landed,,,,,,,,,,
flexible_load,mixed_commercial_residential,schedule_per_unit,mixed_commercial_residential,0.6,1.4,,,6,,,,,
flexible_load,residential_landed,schedule_per_unit,residential_landed,0.6,1.4,,,6,,,,,
fixed_generator,photovoltaic_generic,schedule_per_unit,photovoltaic_generic,,,,,,,,,,
fixed_generator,solarthermal_generic,schedule_per_unit,solarthermal_generic,,,,,,,,,,
flexible_generator,photovoltaic_generic,schedule_per_unit,photovoltaic_generic,0,1,,,,,,0.1,,
flexible_generator,solarthermal_generic,schedule_per_unit,solarthermal_generic,0,1,,,,,,0.1,,
fixed_ev_charger,fixed_ev_charger_generic,schedule_per_unit,fixed_ev_charger_generic,,,,,,,,,,
flexible_ev_charger,flexible_ev_charger_generic_night,flexible_ev_charger,flexible_ev_charger_generic_night,,,,,,1.0,,,,
flexible_ev_charger,flexible_ev_charger_generic_day,flexible_ev_charger,flexible_ev_charger_generic_day,,,,,,1.0,,,,
cooling_plant,cooling_plant_singapore,cooling_plant,cooling_plant_singapore,,,,,,,,,,
heating_plant,heating_plant_generic,schedule_per_unit,heating_plant_generic,0,1,,,6,,,1,1.2,
flexible_chp,flexible_chp_generic,schedule_per_unit,flexible_chp_generic,0,1,,,6,,,1,0.55,0.37
storage,battery_storage_generic,,,0,1,,,12,0.99,0.01,,,
storage,thermal_storage_generic,,,0.5,1,,,6,0.99,0.01,,,
