thermal_grid_name,line_name,line_type,node_1_name,node_2_name,length
paper_2021_kleinschmidt_isgt,0,isgt_2021_pipe_300,0,1,0.15
paper_2021_kleinschmidt_isgt,1,isgt_2021_pipe_300,1,2,0.15
paper_2021_kleinschmidt_isgt,2,isgt_2021_pipe_300,2,3,0.075
paper_2021_kleinschmidt_isgt,3,isgt_2021_pipe_300,0,4,0.15
paper_2021_kleinschmidt_isgt,4,isgt_2021_pipe_300,4,5,0.075
paper_2021_kleinschmidt_isgt,5,isgt_2021_pipe_300,5,6,0.15
paper_2021_kleinschmidt_isgt,6,isgt_2021_pipe_300,6,7,0.075
paper_2021_kleinschmidt_isgt,7,isgt_2021_pipe_300,7,8,0.1
paper_2021_kleinschmidt_isgt,8,isgt_2021_pipe_300,8,9,0.1
paper_2021_kleinschmidt_isgt,9,isgt_2021_pipe_300,4,10,0.075
paper_2021_kleinschmidt_isgt,10,isgt_2021_pipe_300,10,11,0.2
paper_2021_kleinschmidt_isgt,11,isgt_2021_pipe_300,11,12,0.075
paper_2021_kleinschmidt_isgt,12,isgt_2021_pipe_300,12,13,0.15
paper_2021_kleinschmidt_isgt,13,isgt_2021_pipe_300,13,14,0.15
paper_2021_kleinschmidt_isgt,14,isgt_2021_pipe_300,11,15,0.15
paper_2021_kleinschmidt_isgt,15,isgt_2021_pipe_300,15,16,0.15
paper_2021_kleinschmidt_isgt,16,isgt_2021_pipe_300,16,17,0.15
paper_2021_kleinschmidt_isgt,17,isgt_2021_pipe_300,17,18,0.075
paper_2021_kleinschmidt_isgt,18,isgt_2021_pipe_300,18,19,0.15
